uid,tid,lat,lng
22,4,28.19,132.7
22,5,31.59,66.69
22,5,27.29,140.64
22,6,34.15,117.2
22,6,26.01,71.0
22,7,36.32,68.94
22,7,25.35,77.53
22,8,33.46,100.42
22,8,32.55,93.24
23,0,32.09,108.95
23,0,28.99,112.35
24,0,40.8,95.62
24,0,28.32,83.62
24,1,32.83,69.2
24,1,31.13,100.25
24,2,37.38,84.87
24,2,22.08,88.95
24,3,33.9,92.89
24,3,27.66,85.66
24,4,41.13,106.14
24,4,31.08,113.74
24,5,39.28,98.82
24,5,23.31,82.84
24,6,40.9,85.51
24,6,42.9,82.98
24,7,40.41,76.82
24,7,50.96,156.28
24,8,37.2,115.75
24,8,30.84,92.92
24,9,41.13,112.51
24,9,30.09,108.83
24,10,37.71,78.88
24,10,23.98,91.75
24,11,33.52,70.08
24,11,32.45,119.9
25,0,33.27,111.08
25,0,46.17,59.93
25,1,49.71,-39.13
25,1,39.82,32.2
25,2,38.12,113.69
25,2,44.55,161.61
25,3,34.57,79.22
25,3,45.21,119.96
25,4,33.38,81.32
25,4,27.13,172.37
25,5,40.67,106.76
25,5,27.06,117.0
25,6,38.94,104.64
25,6,47.24,158.17
25,7,35.28,118.51
25,7,24.18,109.08
25,8,32.11,79.48
25,8,51.17,153.4
25,9,40.83,92.68
25,9,21.82,168.81
25,10,41.36,111.0
25,10,25.28,111.77
25,11,37.22,67.04
25,11,30.3,94.65
25,12,40.36,115.71
25,12,50.31,106.2
25,13,35.1,114.01
25,13,32.1,156.45
25,14,41.01,74.72
25,14,23.26,88.6
25,15,31.57,92.58
25,15,30.31,80.54
25,16,32.17,115.82
25,16,22.06,117.72
25,17,26.57,141.31
25,17,40.43,66.4
25,18,37.18,152.56
25,18,32.97,92.66
25,19,46.99,99.22
25,19,35.12,109.65
26,0,37.12,112.77
26,0,25.95,114.72
26,1,32.21,101.67
26,1,30.68,79.98
26,2,41.25,106.25
26,2,33.56,67.34
27,0,40.62,120.27
27,0,27.04,142.44
27,1,28.42,107.05
27,1,12.07,85.77
27,2,29.76,118.38
27,2,36.78,89.52
27,3,43.94,68.81
27,3,36.11,102.59
27,4,27.73,105.5
27,4,38.09,83.07
28,0,32.55,106.69
28,0,35.62,126.95
28,1,50.37,129.63
28,1,35.45,111.47
28,2,50.27,14.88
28,2,43.69,-23.26
28,3,44.81,-80.49
28,3,34.02,5.38
28,4,40.78,48.83
28,4,32.42,111.91
29,0,33.89,71.27
29,0,28.83,154.59
29,1,34.62,97.41
29,1,31.22,96.17
29,2,41.46,100.25
29,2,22.85,78.23
29,3,33.26,97.74
29,3,42.15,96.91
29,4,32.66,103.57
29,4,43.09,102.64
29,5,41.26,98.38
29,5,31.36,69.37
29,6,38.36,106.38
29,6,50.31,63.3
29,7,42.98,-18.34
29,7,43.52,-94.26
29,8,37.61,-31.02
29,8,38.81,42.61
29,9,35.78,91.64
29,9,25.13,88.91
29,10,38.45,118.12
29,10,30.69,134.48
29,11,37.76,103.38
29,11,46.68,106.94
29,12,34.6,95.08
29,12,25.87,68.69
29,13,38.54,87.31
29,13,27.83,88.89
29,14,40.97,82.27
29,14,29.3,102.23
29,15,37.02,101.18
29,15,27.42,95.9
29,16,40.58,99.89
29,16,26.27,79.02
29,17,36.52,78.94
29,17,22.88,96.0
29,18,41.29,97.36
29,18,29.61,88.72
29,19,36.7,90.4
29,19,34.64,85.07
30,0,41.26,111.64
30,0,26.75,122.12
31,0,31.57,83.13
31,0,25.12,80.38
31,1,31.77,93.14
31,1,42.91,78.0
31,2,32.61,93.87
31,2,25.25,91.06
31,3,32.07,85.97
31,3,22.77,131.03
31,4,40.18,72.85
31,4,31.17,87.58
31,5,35.22,107.0
31,5,23.85,115.79
31,6,31.94,72.81
31,6,29.19,118.49
31,7,33.81,72.87
31,7,41.86,108.15
31,8,35.41,106.69
31,8,41.59,112.26
31,9,39.15,104.6
31,9,28.09,73.6
31,10,26.91,143.6
31,10,35.64,96.58
31,11,29.51,111.61
31,11,39.91,116.52
31,12,48.74,100.89
31,12,32.73,68.72
31,13,23.75,80.56
31,13,37.85,76.61
31,14,21.75,138.03
31,14,32.84,118.32
31,15,23.31,80.9
31,15,35.25,91.47
31,16,23.09,107.27
31,16,35.04,74.69
31,17,25.03,116.8
31,17,37.15,117.69
31,18,29.28,117.4
31,18,41.02,71.37
32,0,35.3,93.11
32,0,23.15,87.5
32,1,34.44,119.02
32,1,34.23,77.43
33,0,31.73,112.95
33,0,29.49,139.56
33,1,36.88,95.8
33,1,34.26,153.7
34,0,34.97,72.15
34,0,44.89,116.34
34,1,33.06,112.5
34,1,38.27,83.04
35,0,35.15,109.8
35,0,44.31,148.09
35,1,37.59,89.37
35,1,28.17,114.37
35,2,36.68,76.04
35,2,31.29,99.22
35,3,39.12,75.87
35,3,33.71,95.01
36,0,31.81,95.35
36,0,26.76,99.7
36,1,40.86,101.81
36,1,29.57,150.94
36,2,38.94,102.13
36,2,31.13,77.06
36,3,32.82,119.37
36,3,25.14,84.85
36,4,32.94,66.7
36,4,23.41,124.98
37,0,33.0,108.53
37,0,31.22,84.11
37,1,38.27,93.91
37,1,24.8,107.08
37,2,36.29,80.72
37,2,24.58,73.77
38,0,39.61,80.46
38,0,29.61,122.86
39,0,41.23,116.13
39,0,44.92,138.23
39,1,34.53,104.18
39,1,28.97,141.66
39,2,30.12,74.77
39,2,35.7,118.6
39,3,24.18,101.28
39,3,35.76,68.8
39,4,24.35,69.45
39,4,31.58,97.54
39,5,44.63,48.63
39,5,51.2,-6.73
39,6,42.97,-53.83
39,6,43.85,-127.0
39,7,37.11,-74.55
39,7,39.61,11.58
39,8,37.79,30.29
39,8,34.43,106.2
39,9,33.98,139.49
39,9,32.58,100.07
39,10,29.11,124.38
39,10,33.2,117.82
39,11,29.46,83.92
39,11,37.31,93.73
39,12,27.18,113.13
39,12,33.63,75.92
39,13,23.61,106.93
39,13,35.56,96.23
39,14,25.81,73.48
39,14,37.05,93.41
39,15,30.08,116.21
39,15,39.45,101.11
39,16,25.19,83.42
39,16,34.9,109.07
39,17,30.27,87.0
39,17,40.83,86.63
39,18,36.59,137.22
39,18,36.4,113.38
39,19,51.45,87.78
39,19,36.94,73.01
39,20,22.51,117.29
39,20,31.6,71.4
39,21,22.29,80.54
39,21,39.83,91.72
39,22,44.56,113.15
39,22,40.81,110.64
40,0,39.83,74.14
40,0,43.5,163.66
40,1,39.54,86.03
40,1,26.57,85.13
40,2,39.98,71.62
40,2,22.16,149.73
40,3,29.96,89.16
40,3,38.87,102.07
40,4,25.12,78.35
40,4,32.65,116.12
40,5,27.94,86.22
40,5,38.83,88.84
40,6,48.1,74.66
40,6,33.14,90.55
40,7,27.44,87.21
40,7,31.79,90.07
40,8,25.76,78.06
40,8,39.13,70.51
40,9,25.51,107.06
40,9,34.4,101.53
41,0,39.69,79.97
41,0,25.94,66.4
41,1,37.68,41.6
41,1,40.93,95.84
42,0,37.51,119.09
42,0,31.18,123.79
42,1,21.47,81.51
42,1,39.83,80.17
43,0,39.58,76.57
43,0,43.92,124.79
43,1,41.31,100.79
43,1,48.34,71.81
43,2,33.33,98.33
43,2,31.23,104.97
43,3,32.83,76.05
43,3,31.88,133.62
43,4,47.67,150.86
43,4,40.51,107.36
44,0,31.84,79.68
44,0,31.42,79.11
44,1,35.24,67.68
44,1,32.23,91.81
45,0,38.69,97.84
45,0,21.59,102.15
45,1,40.01,119.41
45,1,25.51,74.44
45,2,36.32,85.68
45,2,35.97,161.73
45,3,39.83,75.51
45,3,23.16,84.84
45,4,34.7,80.32
45,4,49.11,108.67
45,5,37.72,81.32
45,5,30.47,86.74
45,6,19.42,94.32
45,6,26.32,71.5
45,7,37.14,113.44
45,7,24.11,91.57
45,8,40.58,89.0
45,8,39.87,103.18
46,0,32.27,92.59
46,0,40.66,79.27
47,0,33.21,105.51
47,0,24.24,171.51
47,1,28.19,72.03
47,1,38.9,67.21
47,2,42.97,97.9
47,2,36.3,117.86
47,3,22.77,108.82
47,3,39.57,112.61
47,4,42.14,106.19
47,4,40.42,71.9
47,5,36.95,164.03
47,5,39.38,97.11
47,6,23.23,73.31
47,6,36.56,97.63
48,0,23.43,151.31
48,0,41.24,116.45
48,1,22.59,101.7
48,1,33.99,87.04
48,2,30.22,110.61
48,2,33.46,74.06
48,3,25.77,105.48
48,3,37.64,74.16
48,4,29.22,120.81
48,4,32.02,98.65
48,5,31.38,94.72
48,5,38.33,73.52
48,6,26.02,94.09
48,6,32.44,66.76
48,7,21.7,86.42
48,7,34.34,81.63
48,8,26.12,71.73
48,8,34.48,108.24
48,9,49.0,149.92
48,9,41.27,81.97
48,10,24.34,112.11
48,10,39.4,106.7
48,11,23.56,89.61
48,11,34.08,75.43
48,12,48.69,138.24
48,12,38.85,102.24
48,13,24.47,120.59
48,13,23.94,72.21
48,14,32.52,118.11
48,14,28.6,70.93
48,15,34.5,75.67
48,15,33.15,141.19
48,16,34.92,109.71
48,16,29.43,84.46
48,17,40.51,80.65
48,17,29.83,87.8
48,18,38.51,83.77
48,18,44.7,94.96
48,19,40.3,116.18
48,19,24.02,79.03
48,20,36.44,91.17
48,20,46.07,147.31
48,21,36.58,99.87
48,21,47.35,99.57
48,22,34.01,72.23
48,22,26.82,89.5
48,23,36.91,80.99
48,23,30.4,81.26
48,24,38.04,90.47
48,24,31.97,137.86
48,25,31.7,77.95
48,25,48.33,94.37
48,26,39.78,107.6
48,26,24.49,83.5
48,27,34.35,88.25
48,27,43.68,106.63
48,28,33.1,68.39
48,28,47.91,112.09
48,29,34.27,102.44
48,29,28.38,75.75
48,30,35.95,82.14
48,30,50.1,47.47
48,31,45.23,11.63
48,31,45.35,-51.32
48,32,49.27,-114.95
48,32,37.53,-50.23
48,33,36.41,-16.14
48,33,36.08,35.54
48,34,40.39,71.08
48,34,24.46,85.33
48,35,38.88,114.8
48,35,24.08,84.31
48,36,39.9,116.31
48,36,21.67,69.77
48,37,32.39,93.66
48,37,49.77,147.19
48,38,34.09,99.74
48,38,28.19,114.41
48,39,39.37,71.26
48,39,51.43,149.26
48,40,35.39,86.26
48,40,28.02,127.94
48,41,39.01,120.23
48,41,22.41,93.57
48,42,33.54,75.0
48,42,30.59,143.45
48,43,32.35,103.62
48,43,22.09,144.24
48,44,33.19,114.51
48,44,22.54,132.41
48,45,37.98,89.01
48,45,27.61,112.93
48,46,33.38,100.24
48,46,45.1,112.31
48,47,38.07,102.65
48,47,22.57,100.82
48,48,32.61,120.09
48,48,38.82,145.51
48,49,34.9,66.83
48,49,33.1,173.78
48,50,39.76,93.67
48,50,30.26,173.85
48,51,40.07,98.94
48,51,42.46,88.88
48,52,40.68,106.9
48,52,37.08,68.56
49,0,21.54,156.8
49,0,38.94,96.37
49,1,49.28,117.23
49,1,36.83,102.15
49,2,37.1,158.31
49,2,34.12,114.67
49,3,47.17,81.59
49,3,36.19,88.77
49,4,38.06,122.65
49,4,42.43,142.95
49,5,34.27,86.25
49,5,51.51,129.82
49,6,35.41,120.0
49,6,26.76,107.5
49,7,39.62,87.47
49,7,25.69,69.19
49,8,36.85,107.63
49,8,25.71,169.22
49,9,28.22,93.96
49,9,33.12,67.05
49,10,25.76,157.22
49,10,32.11,102.85
49,11,25.05,105.56
49,11,37.65,105.12
49,12,28.14,125.45
49,12,41.22,101.24
49,13,38.04,161.66
49,13,31.52,99.77
49,14,28.88,68.79
49,14,36.66,114.82
49,15,29.1,112.55
49,15,36.01,79.58
49,16,32.78,137.63
49,16,41.93,146.17
49,17,39.44,114.48
49,17,27.89,86.1
49,18,39.22,109.57
49,18,28.12,150.28
49,19,40.78,101.7
49,19,48.47,104.28
49,20,39.16,75.82
49,20,43.56,114.99
49,21,36.46,103.26
49,21,29.2,109.7
49,22,32.48,117.76
49,22,31.17,76.14
49,23,41.08,114.11
49,23,25.19,73.87
49,24,32.46,67.39
49,24,23.04,97.47
49,25,36.13,74.78
49,25,26.35,126.94
49,26,28.03,105.72
49,26,39.97,108.09
49,27,44.08,77.25
49,27,39.71,102.93
49,28,29.5,131.48
49,28,39.4,87.34
49,29,24.02,88.57
49,29,34.66,107.82
49,30,29.32,107.11
49,30,33.94,80.21
49,31,28.83,76.28
49,31,34.41,72.56
49,32,28.04,110.12
49,32,25.71,152.48
49,33,36.44,104.21
49,33,22.36,118.9
49,34,34.2,101.1
49,34,34.51,113.78
50,0,37.27,66.4
50,0,24.82,107.9
50,1,39.78,76.12
50,1,42.88,99.21
50,2,33.47,116.32
50,2,25.77,124.21
50,3,29.27,67.95
50,3,37.63,111.53
50,4,23.63,92.27
50,4,38.71,88.39
50,5,25.28,101.32
50,5,37.57,74.15
50,6,44.42,93.58
50,6,37.85,73.39
50,7,27.54,76.27
50,7,39.31,68.22
51,0,36.56,74.74
51,0,28.0,82.37
51,1,31.64,92.22
51,1,23.1,115.93
51,2,34.07,113.11
51,2,32.43,80.63
52,0,40.76,83.85
52,0,27.14,71.69
52,1,36.0,72.21
52,1,25.27,169.78
52,2,23.21,73.73
52,2,36.12,72.11
52,3,26.76,86.95
52,3,32.36,89.75
52,4,30.84,104.88
52,4,37.65,114.06
52,5,46.91,97.89
52,5,41.21,72.52
52,6,46.88,95.36
52,6,34.06,67.4
52,7,43.27,117.53
52,7,39.28,119.91
52,8,32.57,159.4
52,8,41.35,70.11
52,9,25.67,118.29
52,9,37.27,68.11
52,10,24.81,94.75
52,10,38.57,70.7
52,11,22.26,117.78
52,11,34.88,109.01
53,0,35.1,97.09
53,0,22.86,94.92
53,1,36.95,83.79
53,1,21.4,77.48
53,2,32.64,77.02
53,2,26.56,110.0
53,3,34.27,110.83
53,3,21.46,84.48
53,4,41.19,78.43
53,4,29.22,88.1
53,5,36.14,103.17
53,5,31.1,77.38
53,6,35.17,115.27
53,6,36.01,149.16
53,7,36.47,90.33
53,7,26.31,127.61
53,8,30.53,88.17
53,8,35.41,83.28
53,9,29.33,77.36
53,9,37.29,103.81
53,10,28.6,90.84
53,10,36.37,69.15
53,11,36.51,122.79
53,11,46.28,137.95
53,12,36.2,66.53
53,12,21.52,78.85
53,13,37.21,82.8
53,13,22.41,118.5
53,14,33.67,118.32
53,14,37.68,72.19
54,0,32.06,74.96
54,0,24.91,101.06
54,1,40.29,81.41
54,1,45.91,104.95
54,2,36.31,114.63
54,2,50.93,124.87
54,3,31.74,111.55
54,3,33.15,103.44
55,0,40.83,76.7
55,0,25.82,89.51
55,1,14.34,83.18
55,1,26.63,81.77
55,2,33.24,113.54
55,2,42.23,42.59
55,3,46.07,-19.22
55,3,49.66,-78.22
55,4,35.66,-19.06
55,4,35.85,107.57
56,0,38.97,67.67
56,0,31.1,139.54
56,1,37.76,69.79
56,1,24.81,67.76
56,2,38.57,111.17
56,2,22.06,114.23
56,3,40.93,71.72
56,3,48.36,114.87
56,4,38.74,78.74
56,4,29.77,146.92
56,5,33.59,94.31
56,5,46.19,73.92
56,6,37.72,92.61
56,6,44.76,153.72
56,7,40.95,102.67
56,7,24.47,172.47
56,8,27.99,68.37
56,8,40.41,70.46
56,9,24.25,101.15
56,9,36.24,112.33
56,10,42.37,115.65
56,10,32.32,99.94
56,11,39.97,123.91
56,11,35.63,75.44
57,0,31.49,86.53
57,0,44.91,117.84
57,1,32.13,109.3
57,1,46.98,77.25
57,2,34.37,90.58
57,2,21.99,107.66
57,3,34.98,98.49
57,3,21.59,103.17
57,4,40.44,67.8
57,4,30.33,80.64
57,5,32.05,79.11
57,5,41.64,80.68
57,6,35.15,119.61
57,6,28.57,86.1
57,7,40.18,106.13
57,7,22.73,71.82
57,8,41.29,94.65
57,8,26.41,118.73
57,9,13.67,100.39
57,9,29.4,88.68
57,10,32.73,94.16
57,10,25.81,89.23
57,11,34.34,79.06
57,11,37.33,84.12
58,0,36.85,73.07
58,0,29.92,163.36
58,1,40.23,102.8
58,1,23.95,92.35
58,2,40.7,80.39
58,2,25.28,149.4
59,0,35.47,77.81
59,0,40.34,120.86
60,0,41.2,87.55
60,0,39.31,106.52
61,0,32.53,95.38
61,0,22.41,90.18
61,1,29.76,126.05
61,1,36.51,118.28
61,2,46.06,100.64
61,2,41.46,111.67
61,3,40.5,159.06
61,3,39.44,108.69
62,0,39.02,88.38
62,0,21.72,67.73
62,1,39.33,79.97
62,1,39.55,88.9
63,0,23.81,71.92
63,0,39.1,86.98
63,1,50.13,117.75
63,1,37.06,106.0
63,2,46.55,111.38
63,2,41.48,107.89
63,3,21.66,109.63
63,3,34.82,97.51
63,4,33.86,132.19
63,4,48.34,144.52
63,5,34.5,84.76
63,5,28.4,101.65
64,0,33.61,77.21
64,0,23.87,90.93
64,1,36.04,90.39
64,1,21.83,71.33
64,2,33.44,116.66
64,2,22.22,78.25
64,3,34.34,101.96
64,3,30.21,129.75
65,0,34.68,90.88
65,0,41.9,98.54
65,1,32.3,102.88
65,1,23.51,77.91
65,2,36.19,110.2
65,2,48.95,128.2
65,3,32.38,67.77
65,3,31.46,103.61
66,0,39.77,82.3
66,0,22.76,94.94
66,1,36.6,76.69
66,1,28.7,170.87
66,2,37.55,92.5
66,2,25.83,95.1
66,3,38.86,113.34
66,3,26.07,115.0
66,4,37.96,95.64
66,4,51.4,107.91
66,5,36.63,105.55
66,5,39.76,108.02
67,0,37.6,94.79
67,0,23.25,90.17
67,1,40.09,113.39
67,1,22.85,103.97
67,2,32.48,118.11
67,2,27.52,78.77
67,3,40.49,113.51
67,3,30.01,109.0
67,4,34.89,116.28
67,4,40.22,116.32
68,0,40.78,118.37
68,0,22.64,126.03
68,1,33.5,80.28
68,1,48.94,113.71
68,2,33.97,84.55
68,2,29.56,85.4
68,3,38.77,118.91
68,3,29.37,71.97
68,4,33.79,99.29
68,4,30.19,74.23
68,5,28.91,131.96
68,5,39.35,109.29
68,6,23.14,84.62
68,6,39.65,116.62
69,0,36.66,83.44
69,0,30.17,92.23
69,1,33.74,108.81
69,1,30.54,106.42
69,2,34.64,75.55
69,2,30.64,140.3
70,0,37.44,66.42
70,0,31.18,111.94
70,1,31.64,97.42
70,1,23.09,130.48
71,0,36.37,76.52
71,0,33.43,141.4
71,1,40.87,86.2
71,1,24.09,77.39
71,2,38.75,91.08
71,2,35.72,150.23
71,3,40.99,114.61
71,3,27.16,88.59
71,4,38.72,89.66
71,4,46.09,102.04
71,5,38.46,117.3
71,5,43.54,118.44
71,6,39.79,66.46
71,6,21.74,84.52
71,7,32.03,94.08
71,7,25.26,79.55
71,8,32.63,84.81
71,8,23.42,105.62
71,9,40.41,110.55
71,9,27.29,81.28
71,10,41.23,115.15
71,10,50.4,71.37
71,11,37.24,101.04
71,11,33.83,160.07
71,12,31.96,102.53
71,12,45.99,89.16
71,13,32.7,93.53
71,13,27.34,100.68
71,14,31.49,118.47
71,14,25.27,66.85
71,15,38.92,98.95
71,15,30.81,111.92
71,16,33.79,97.63
71,16,25.86,82.52
71,17,34.94,110.79
71,17,25.15,72.08
71,18,31.85,89.66
71,18,41.4,131.2
71,19,36.97,99.59
71,19,44.69,157.95
71,20,38.78,114.24
71,20,30.97,85.88
71,21,33.97,74.13
71,21,22.18,87.44
71,22,31.98,72.71
71,22,25.26,69.76
71,23,40.65,117.15
71,23,29.87,95.45
71,24,34.3,116.63
71,24,24.82,112.78
71,25,33.77,117.8
71,25,25.53,126.08
71,26,33.59,81.34
71,26,25.82,74.92
71,27,32.15,89.03
71,27,22.52,66.55
71,28,32.36,119.17
71,28,21.72,168.5
71,29,33.53,74.42
71,29,25.68,118.76
71,30,41.15,118.24
71,30,32.69,74.9
72,0,32.13,119.2
72,0,24.12,109.55
72,1,35.94,88.98
72,1,22.58,126.0
72,2,40.57,83.56
72,2,25.85,87.2
72,3,41.01,107.99
72,3,50.95,98.16
72,4,37.93,117.03
72,4,38.41,164.98
72,5,32.2,76.95
72,5,28.0,88.67
72,6,38.62,82.56
72,6,29.65,110.68
72,7,38.08,74.81
72,7,26.11,109.48
72,8,39.82,81.99
72,8,23.17,92.76
72,9,34.36,106.31
72,9,27.83,121.33
72,10,38.4,115.96
72,10,34.67,85.98
73,0,36.25,109.0
73,0,41.24,113.64
74,0,36.37,114.28
74,0,35.41,135.41
74,1,36.01,99.53
74,1,30.42,160.34
74,2,37.84,97.61
74,2,22.51,152.21
74,3,33.52,68.09
74,3,21.42,114.8
74,4,38.02,108.85
74,4,34.94,67.66
75,0,32.88,74.35
75,0,26.8,104.6
75,1,35.92,88.15
75,1,23.67,100.47
75,2,34.51,97.43
75,2,28.35,156.91
75,3,23.11,119.13
75,3,40.0,120.33
76,0,39.59,89.47
76,0,36.11,79.91
77,0,33.44,104.95
77,0,40.3,142.65
77,1,35.33,69.53
77,1,24.65,118.52
77,2,39.73,112.93
77,2,27.78,109.32
77,3,34.89,85.38
77,3,31.01,156.78
77,4,32.52,86.94
77,4,27.62,70.88
77,5,36.57,120.2
77,5,28.29,103.67
77,6,40.56,111.92
77,6,28.04,116.56
77,7,41.15,73.83
77,7,29.74,131.8
77,8,38.42,74.04
77,8,36.96,104.16
78,0,33.54,114.32
78,0,23.25,103.08
78,1,40.56,71.88
78,1,24.55,91.74
78,2,35.68,109.14
78,2,21.83,86.23
78,3,32.84,89.73
78,3,23.38,141.02
78,4,28.92,66.72
78,4,38.59,94.11
78,5,23.3,66.8
78,5,40.15,72.24
78,6,23.47,159.7
78,6,24.74,120.0
78,7,18.46,96.9
78,7,28.09,98.65
78,8,41.13,91.72
78,8,27.38,70.28
78,9,38.01,73.65
78,9,25.3,143.58
78,10,23.55,112.44
78,10,32.36,102.59
78,11,27.85,118.64
78,11,32.2,84.92
78,12,29.07,132.88
78,12,34.03,75.59
78,13,22.48,106.41
78,13,38.07,111.97
79,0,39.79,118.11
79,0,27.41,70.29
79,1,36.66,116.19
79,1,25.58,69.78
79,2,33.07,114.79
79,2,25.69,66.87
79,3,34.17,100.14
79,3,49.04,104.68
79,4,33.23,99.15
79,4,22.95,172.08
79,5,38.33,83.2
79,5,38.79,100.7
80,0,32.93,103.84
80,0,29.55,84.39
80,1,38.5,89.71
80,1,29.18,84.29
80,2,39.38,112.23
80,2,42.19,90.69
80,3,39.95,107.01
80,3,50.03,131.63
80,4,36.01,116.69
80,4,30.01,73.35
80,5,39.95,87.82
80,5,27.6,92.88
80,6,33.17,92.67
80,6,30.56,103.32
80,7,38.61,81.65
80,7,28.32,85.17
80,8,31.91,100.61
80,8,34.19,109.76
81,0,35.35,89.64
81,0,22.52,87.39
81,1,37.68,85.96
81,1,26.86,70.1
81,2,39.59,68.76
81,2,28.38,107.17
81,3,38.84,113.72
81,3,41.02,163.11
81,4,47.3,171.74
81,4,38.49,78.75
82,0,49.5,71.37
82,0,46.48,84.89
83,0,35.01,79.38
83,0,30.35,128.44
83,1,34.52,109.56
